,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_ent_coef,params_exponent_n_steps,params_gamma,params_lr,params_n_epochs,user_attrs_gamma_,user_attrs_n_steps,state
0,0,-2109.85,2024-09-04 09:21:18.710531,2024-09-04 09:57:36.565305,0 days 00:36:17.854774,16,1.546351582228958e-05,8,0.012285916427548801,0.00013695509205547212,7,0.9877140835724512,256,COMPLETE
1,1,-8321.6,2024-09-04 09:21:31.628264,2024-09-04 10:09:15.492859,0 days 00:47:43.864595,16,1.546351582228958e-05,8,0.012285916427548801,0.00013695509205547212,7,0.9877140835724512,256,COMPLETE
2,2,-27787.3,2024-09-04 09:22:54.899908,2024-09-04 10:22:46.892986,0 days 00:59:51.993078,16,1.546351582228958e-05,8,0.012285916427548801,0.00013695509205547212,7,0.9877140835724512,256,COMPLETE
3,3,-22030.8,2024-09-04 09:23:05.782476,2024-09-04 10:13:15.815597,0 days 00:50:10.033121,16,1.546351582228958e-05,8,0.012285916427548801,0.00013695509205547212,7,0.9877140835724512,256,COMPLETE
4,4,-3490.35,2024-09-04 09:23:07.123922,2024-09-04 10:04:21.280160,0 days 00:41:14.156238,16,1.546351582228958e-05,8,0.012285916427548801,0.00013695509205547212,7,0.9877140835724512,256,COMPLETE
5,5,-46891.8,2024-09-04 09:23:10.964501,2024-09-04 10:44:41.578712,0 days 01:21:30.614211,16,1.546351582228958e-05,8,0.012285916427548801,0.00013695509205547212,7,0.9877140835724512,256,COMPLETE
6,6,-7318.45,2024-09-04 09:23:11.226402,2024-09-04 10:06:20.550326,0 days 00:43:09.323924,16,1.546351582228958e-05,8,0.012285916427548801,0.00013695509205547212,7,0.9877140835724512,256,COMPLETE
7,7,-8463.05,2024-09-04 09:23:11.402737,2024-09-04 10:02:05.586216,0 days 00:38:54.183479,16,1.546351582228958e-05,8,0.012285916427548801,0.00013695509205547212,7,0.9877140835724512,256,COMPLETE
8,8,-109690.95,2024-09-04 09:23:13.236728,2024-09-04 10:53:56.699264,0 days 01:30:43.462536,16,1.546351582228958e-05,8,0.012285916427548801,0.00013695509205547212,7,0.9877140835724512,256,COMPLETE
9,9,-5055.6,2024-09-04 09:23:13.336165,2024-09-04 10:02:27.957789,0 days 00:39:14.621624,16,1.546351582228958e-05,8,0.012285916427548801,0.00013695509205547212,7,0.9877140835724512,256,COMPLETE
10,10,-9811.2,2024-09-04 09:23:13.486663,2024-09-04 10:10:59.197963,0 days 00:47:45.711300,16,1.546351582228958e-05,8,0.012285916427548801,0.00013695509205547212,7,0.9877140835724512,256,COMPLETE
11,11,-11254.25,2024-09-04 09:23:16.389506,2024-09-04 10:07:39.635330,0 days 00:44:23.245824,16,1.546351582228958e-05,8,0.012285916427548801,0.00013695509205547212,7,0.9877140835724512,256,COMPLETE
12,12,-137.5,2024-09-04 09:57:36.693098,2024-09-04 10:06:25.055105,0 days 00:08:48.362007,64,0.002292635319486814,10,0.003939877885425337,0.00032464513461066217,4,0.9960601221145746,1024,COMPLETE
13,13,-122.55,2024-09-04 10:02:05.680148,2024-09-04 10:11:56.198312,0 days 00:09:50.518164,64,0.002292635319486814,10,0.003939877885425337,0.00032464513461066217,4,0.9960601221145746,1024,COMPLETE
14,14,-166.3,2024-09-04 10:02:28.109014,2024-09-04 10:12:11.626184,0 days 00:09:43.517170,64,0.002292635319486814,10,0.003939877885425337,0.00032464513461066217,4,0.9960601221145746,1024,COMPLETE
15,15,-125.5,2024-09-04 10:04:21.436654,2024-09-04 10:14:18.933030,0 days 00:09:57.496376,64,0.002292635319486814,10,0.003939877885425337,0.00032464513461066217,4,0.9960601221145746,1024,COMPLETE
16,16,-110.25,2024-09-04 10:06:20.672878,2024-09-04 10:25:59.187564,0 days 00:19:38.514686,64,1.0932519113936738e-08,12,0.0001966586436208717,0.0003461234588008263,12,0.9998033413563792,4096,COMPLETE
17,17,-84.55,2024-09-04 10:06:25.172999,2024-09-04 10:15:37.223257,0 days 00:09:12.050258,64,0.006493685393796563,12,0.00038140213902477913,0.00039029037032858806,4,0.9996185978609752,4096,COMPLETE
